last_name,first_name,dob,gender,team_cat,country_short,team_short,team_long,code
AAEN,Jonas,20/04/1986,Male,PCT,(Den),RIW,RIWAL READYNEZ CYCLING TEAM,10051715633
AALERUD,Katrine,04/12/1994,Female,CTW,(Nor),TVC,TEAM VIRTU CYCLING,10015360134
ABERASTURI IZAGA,Jon,28/03/1989,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10005583948
ABGRALL,Noemie,01/12/1999,Female,CTW,(Fra),CMW,CHARENTE - MARITIME WOMEN CYCLING,10015999829
ACKERMANN,Pascal,17/01/1994,Male,WTT,(Ger),BOH,BORA - HANSGROHE,10007738055
ACOSTA OSPINA,Ruben Dario,20/08/1996,Male,PCT,(Col),NIP,NIPPO - VINI FANTINI - FAIZANE',10035520976
ADEGEEST,Loes,07/08/1996,Female,CTW,(Ned),PHV,PARKHOTEL VALKENBURG,10014217150
AFFINI,Edoardo,24/06/1996,Male,WTT,(Ita),MTS,MITCHELTON - SCOTT,10009501233
AFONSO VILELA,Ricardo Augusto,18/12/1987,Male,PCT,(Por),BBH,BURGOS - BH,10005827559
AGNOLI,Valerio,06/01/1985,Male,WTT,(Ita),TBM,BAHRAIN - MERIDA,10002910586
ALAPHILIPPE,Julian,11/06/1992,Male,WTT,(Fra),DQT,DECEUNINCK  -  QUICK - STEP,10007155752
ALBANESE,Vincenzo,12/11/1996,Male,PCT,(Ita),BRD,BARDIANI CSF,10009505475
ALBASINI,Michael,20/12/1980,Male,WTT,(Swi),MTS,MITCHELTON - SCOTT,10001449425
ALBRECHT,Lex,06/04/1987,Female,CTW,(Can),TIB,TEAM TIBCO - SILICON VALLEY BANK,10007619938
ALEXANDRE REIS,Daniela Da Conceição,06/04/1993,Female,CTW,(Por),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10007742196
ALLAR,Erica,05/11/1985,Female,CTW,(USA),RLW,RALLY UHC CYCLING,10004725294
ALLEGAERT,Piet,20/01/1995,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10008660464
ALLEN,Jessica,17/04/1993,Female,CTW,(Aus),MTS,MITCHELTON SCOTT,10007227490
ALLIN,Pauline,02/05/1995,Female,CTW,(Fra),CMW,CHARENTE - MARITIME WOMEN CYCLING,10014322436
ALLISON,Whitney,01/03/1988,Female,CTW,(USA),HBS,HAGENS BERMAN / SUPERMINT,10010009976
ALLKOKONDI,Lisa,17/05/1995,Female,CTW,(Alb),CZF,CONCERIA ZABRI - FANINI,10050642468
ALMEIDA,João,05/08/1998,Male,PCT,(Por),HBA,HAGENS BERMAN AXEON,10010784057
ALONSO DOMINGUEZ,Sandra,19/08/1998,Female,CTW,(Spa),BDU,BIZKAIA - DURANGO,10011154475
ALVES OLIVEIRA,Rui Filipe,05/09/1996,Male,WTT,(Por),UAD,UAE TEAM EMIRATES,10009191136
ALZINI,Martina,10/02/1997,Female,CTW,(Ita),BIG,BIGLA,10010713228
AMADOR,Andrey,29/08/1986,Male,WTT,(CRc),MOV,MOVISTAR TEAM,10003473994
AMADOR CASTAÑO,Juan Jose,20/04/1998,Male,PCT,(Col),MZN,MANZANA POSTOBON TEAM,10016003263
AMEZQUETA MORENO,Julen,12/08/1993,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10010042615
AMIALIUSIK,Alena,06/02/1989,Female,CTW,(Blr),CSR,CANYON / /SRAM RACING,10005492002
ANACONA,Winner Andrew,11/08/1988,Male,WTT,(Col),MOV,MOVISTAR TEAM,10006429565
ANDERSEN,Birgitte,27/10/1991,Female,CTW,(Den),TVC,TEAM VIRTU CYCLING,10083419980
ANDERSEN,Susanne,23/07/1998,Female,CTW,(Nor),SUN,TEAM SUNWEB,10011047573
ANDERSON,Edward,18/04/1998,Male,PCT,(USA),HBA,HAGENS BERMAN AXEON,10050184245
ANDERSON,Grace,09/07/1997,Female,CTW,(NZl),DRP,DROPS,10015534431
ANDERSON,Ryan,22/07/1987,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10003421555
ANTUNES,Amaro,27/11/1990,Male,WTT,(Por),CPT,CCC TEAM,10043986652
ARANBURU DEBA,Alexander,19/09/1995,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10042286324
ARASHIRO,Yukiya,22/09/1984,Male,WTT,(Jpn),TBM,BAHRAIN - MERIDA,10004556253
ARCAS,Jorge,08/07/1992,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10010209535
ARERUYA,Joseph,01/01/1996,Male,PCT,(Rwa),DMP,DELKO MARSEILLE PROVENCE,10010844681
ARISTI GARDOKI,Mikel,28/05/1993,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10008661070
ARMEE,Sander,10/12/1985,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10005708533
ARMIRAIL,Bruno,11/04/1994,Male,WTT,(Fra),GFC,GROUPAMA - FDJ,10009162642
ARNDT,Nikias,18/11/1991,Male,WTT,(Ger),SUN,TEAM SUNWEB,10006479782
ARREOLA NAVARRO,Sofia,22/04/1991,Female,CTW,(Mex),T20,SHO - AIR TWENTY20,10006501105
ARSLANOV,Ildar,06/04/1994,Male,PCT,(Rus),GAZ,GAZPROM - RUSVELO,10008661272
ARU,Fabio,03/07/1990,Male,WTT,(Ita),UAD,UAE TEAM EMIRATES,10006271234
ARZUFFI,Alice Maria,19/11/1994,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10007816766
ASENCIO,Laura,14/05/1998,Female,CTW,(Fra),WNT,WNT ROTOR PRO CYCLING TEAM,10015704381
ASGREEN,Kasper,08/02/1995,Male,WTT,(Den),DQT,DECEUNINCK  -  QUICK - STEP,10009743733
ASSELMAN,Jesper,12/03/1990,Male,PCT,(Ned),ROC,ROOMPOT - CHARLES,10006003371
ATAPUMA HURTADO,Jhon Darwin,15/01/1988,Male,PCT,(Col),COF,COFIDIS SOLUTIONS CREDITS,10006916080
AUGUSTINAS,Evgenia,22/01/1988,Female,CTW,(Rus),CGS,COGEAS METTLER LOOK PRO CYCLING TEAM,10004623244
BADEGRUBER,Anna,14/01/1997,Female,CTW,(Aut),WNT,WNT ROTOR PRO CYCLING TEAM,10011088595
BADYKOVA,Gulnaz,21/04/1994,Female,CTW,(Rus),CGS,COGEAS METTLER LOOK PRO CYCLING TEAM,10007739974
BAGIOLI,Nicola,19/02/1995,Male,PCT,(Ita),NIP,NIPPO - VINI FANTINI - FAIZANE',10010085859
BAGOT,Yoann,06/09/1987,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10005890308
