code,First_Last,country_short,2018_team
10001570067,Yevgeniya Vysotska,(Ukr),SC Michela Fanini
10008690372,Gabrielle Pilote-Fortin,(Can),WNT Rotor Pro Cycling Team
10008822738,Barbora Prudková,(Cze),Team Dukla Praha
10008928226,Argiro Milaki,(Gre),Servetto-Stradalli Cycle-Alurecycling
10008946717,Ina Savenka,(Blr),Minsk Cycling Club
10008954700,Omer Shapira,(Isr),Cylance Pro Cycling
10009233269,Daniela Magnetto Allietta,(Ita),Conceria Zabri-Fanini
10009723121,Anna Plichta,(Pol),Boels Dolmans Cyclingteam
10010177809,Karalina Savenka,(Blr),Minsk Cycling Club
10010590360,Renata Baymetova,(Uzb),Alasayl
10010592885,Inge Van Der Heijden,(Ned),Waowdeals Pro Cycling Team
10010611780,Suzanne Verhoeven,(Bel),Eurotarget-Bianchi-Vitasana
10010616834,Brodie Chapman,(Aus),Team Tibco-Silicon Valley Bank
10010766677,Isabella Strizzi,(Ita),Conceria Zabri-Fanini
10011049088,Maja Perinovic,(Cro),Top Girls Fassa Bortolo
10011454266,Zaloa Trevilla Martin,(Spa),Bizkaia Durango-Euskadi Murias
10050427452,Brenda Andrea Santoyo Perez,(Mex),Swapit Agolico
10065464270,Marcella Toldi,(Bra),Cylance Pro Cycling
10071602451,Alyazia Al-Nahyan,(UAE),Alasayl Cycling Team
10071601744,Nadin Almaskari,(UAE),Alasayl Cycling Team
10071603764,Shouq Alnowais,(UAE),Alasayl Cycling Team
10009075948,Mandana Dehghan,(IRI),Alasayl Cycling Team
10010609154,Ekaterina Knebeleva,(Uzb),Alasayl Cycling Team
10008999560,Grace Phang,(Mas),Alasayl Cycling Team
10063020476,Roisin Thomas,(Irl),Alasayl Cycling Team
10053580255,Ebtissam Zayed Ahmed,(Egy),Alasayl Cycling Team
10003267163,Marta Bastianelli,(Ita),Ale Cipollini
10006727538,Janneke Ensing,(Ned),Ale Cipollini
10015663460,Sofia Frometa Leonard,(Ita),Ale Cipollini
10003273732,Mayuko Hagiwara,(Jpn),Ale Cipollini
10005781584,Chloe Hosking,(Aus),Ale Cipollini
10004603137,Romy Kasper,(Ger),Ale Cipollini
10003266456,Roxane Knetemann,(Ned),Ale Cipollini
10007524453,Soraya Paladin,(Ita),Ale Cipollini
10006489684,Ane Santesteban,(Spa),Ale Cipollini
10014966575,Martina Stefani,(Ita),Ale Cipollini
10009857103,Karlijn Swinkels,(Ned),Ale Cipollini
10006880819,Anna Trevisi,(Ita),Ale Cipollini
10003220582,Daiva Tuslaite,(Ltu),Ale Cipollini
10006875058,Anisha Vekemans,(Bel),Ale Cipollini
10009387257,Michela Balducci,(Ita),Aromitalia Vaiano
10015659117,Angelica Brogi,(Ita),Aromitalia Vaiano
10007384815,Alessia Bulleri,(Ita),Aromitalia Vaiano
10015660228,Claudia Cadeddu,(Ita),Aromitalia Vaiano
10008668649,Heidi Dalton,(RSA),Aromitalia Vaiano
10010970781,Lisa De Ranieri,(Ita),Aromitalia Vaiano
10008680571,Lija Laizane,(Lat),Aromitalia Vaiano
10004490676,Rasa Leleivyte,(Ltu),Aromitalia Vaiano
10014963747,Giulia Marchesini,(Ita),Aromitalia Vaiano
10015660935,Emilia Matteoli,(Ita),Aromitalia Vaiano
10010200340,Nicole Nesti,(Ita),Aromitalia Vaiano
10010713228,Martina Alzini,(Ita),Astana Women's Team
10009638548,Sofia Beggin,(Ita),Astana Women's Team
10010660785,Sofia Bertizzolo,(Ita),Astana Women's Team
10010655432,Amiliya Iskakova,(Kaz),Astana Women's Team
10013350315,Liliana Moreno,(Col),Astana Women's Team
10015336387,Letizia Paternoster,(Ita),Astana Women's Team
10015331337,Elena Pirrone,(Ita),Astana Women's Team
10015972850,Jeidy Pradera,(Cub),Astana Women's Team
10008693103,Caro Rodríguez,(Mex),Astana Women's Team
10005942444,Natalya Saifutdinova,(Kaz),Astana Women's Team
10007199808,Arlenis Sierra,(Cub),Astana Women's Team
10009015021,Makhabbat Umutzhanova,(Kaz),Astana Women's Team
10007980454,Lara Vieceli,(Ita),Astana Women's Team
10014819964,Letizia Borghesi,(Ita),BePink
10048328010,Erica Magnaldi,(Ita),BePink
10008625607,Tereza Medvedova,(Svk),BePink
10014861390,Lisa Morzenti,(Ita),BePink
10009335121,Nikola Nosková,(Cze),BePink
10008689362,Francesca Pattaro,(Ita),BePink
10010660684,Katia Ragusa,(Ita),BePink
10009232865,Maria Vittoria Sperotto,(Ita),BePink
10002526125,Silvia Valsecchi,(Ita),BePink
10011154475,Sandra Alonso,(Spa),Bizkaia Durango-Euskadi Murias
10007816766,Alice Arzuffi,(Ita),Bizkaia Durango-Euskadi Murias
10009315620,Danielle Christmas,(GBr),Bizkaia Durango-Euskadi Murias
10010199431,Henrietta Colborne,(GBr),Bizkaia Durango-Euskadi Murias
10015708526,Miriam Gardachal,(Spa),Bizkaia Durango-Euskadi Murias
10005976190,Lucia Gonzalez,(Spa),Bizkaia Durango-Euskadi Murias
10015390446,Aroa Gorostiza,(Spa),Bizkaia Durango-Euskadi Murias
10010982505,Irati Idirin,(Spa),Bizkaia Durango-Euskadi Murias
10009233168,Ane Iriarte,(Spa),Bizkaia Durango-Euskadi Murias
10008583773,Lierni Lekuona,(Spa),Bizkaia Durango-Euskadi Murias
10009517195,Cristina Martinez,(Spa),Bizkaia Durango-Euskadi Murias
10016035902,Yessica Perez,(Spa),Bizkaia Durango-Euskadi Murias
10008635913,Anna Stricker,(Ita),Bizkaia Durango-Euskadi Murias
10005498264,Chantal Blaak,(Ned),Boels Dolmans Cyclingteam
10003109539,Nikki Brammeier,(GBr),Boels Dolmans Cyclingteam
10004616574,Karol-Ann Canuel,(Can),Boels Dolmans Cyclingteam
10004598891,Lizzie Deignan,(GBr),Boels Dolmans Cyclingteam
10009487085,Amalie Dideriksen,(Den),Boels Dolmans Cyclingteam
10005894146,Megan Guarnier,(USA),Boels Dolmans Cyclingteam
10005669935,Christine Majerus,(Lux),Boels Dolmans Cyclingteam
10004779252,Amy Pieters,(Ned),Boels Dolmans Cyclingteam
